Layer index,PC1,PC2,Grid x,Grid y,Run index
0,0.17684712110554363,0.22616705648782076,2,2,38
0,-0.17688362224662482,0.029333413676657972,0,0,39
0,0.20166560476698,-0.001078037448596926,0,1,39
0,-0.2330171559211494,-0.11906476484981347,0,2,39
0,0.23707386144870243,0.038921776753062076,1,0,39
0,-0.17888638164329002,0.03226308786035049,1,1,39
0,0.22522606904711973,0.05967594500717994,1,2,39
0,-0.23765301491203888,0.12422514026580944,2,0,39
0,0.17955559018481693,0.1071298834937941,2,1,39
0,-0.215686879328362,-0.11448067681354704,2,2,39
0,-0.2269688754368112,0.0026818897455184705,0,0,40
0,0.22076585829144252,-0.017670131827045646,0,1,40
0,-0.18559775090985334,-0.10283528935278417,0,2,40
0,0.20045723793013093,0.026453577246159016,1,0,40
0,-0.2435021131146074,-0.12487196337619212,1,1,40
0,0.2146383640691868,-0.07932569706856721,1,2,40
0,-0.21132068349072552,0.03295669433427504,2,0,40
0,0.18876480720868846,-0.02911506223590808,2,1,40
0,-0.15638858660609667,0.043613569528327685,2,2,40
0,0.217019011890098,0.10343786668727371,0,0,41
0,-0.2300541383661515,-0.14398299360435268,0,1,41
0,0.1910574021808432,-0.04989058185136651,0,2,41
0,-0.18367902097876856,0.16373400107214892,1,0,41
0,0.240810400728339,0.038507806284116784,1,1,41
0,-0.182391005036095,-0.06544791110463277,1,2,41
