PC1,PC2,series,Point type
-0.14103014767169952,-0.12495043128728867,Health,Background
-0.1684936136007309,-0.14172397553920746,Health,Background
0.1367078721523285,-0.013870835304260254,Health,Background
-0.07113251090049744,-0.14026007056236267,Health,Background
-0.10732011497020721,-0.20892542600631714,Health,Background
-0.21146924793720245,-0.03987690806388855,Health,Background
-0.15048952400684357,-0.2321414053440094,Health,Background
-0.13349415361881256,-0.15600645542144775,Health,Background
0.01385461911559105,-0.1613159030675888,Health,Background
0.06592318415641785,-0.026655670255422592,Health,Background
-0.14549121260643005,0.07540144771337509,Health,Background
-0.17037725448608398,-0.042583417147397995,Health,Background
-0.091185063123703,-0.114460289478302,Health,Background
-0.11642572283744812,-0.1524217426776886,Health,Background
-0.01775236427783966,0.021294288337230682,Health,Background
-0.20284335315227509,-0.07689569145441055,Health,Background
-0.011393450200557709,-0.22226232290267944,Health,Background
-0.0679519772529602,-0.0898304134607315,Health,Background
-0.16624672710895538,-0.2847972810268402,Health,Background
-0.2516278326511383,0.10414809733629227,Health,Background
-0.17181836068630219,-0.023527856916189194,Health,Background
-0.14560867846012115,-0.22055256366729736,Health,Background
0.039193928241729736,-0.005171503871679306,Health,Background
-0.21364375948905945,-0.19276505708694458,Health,Background
-0.026891212910413742,-0.08680203557014465,Health,Background
-0.11419118940830231,-0.2375335693359375,Health,Background
-0.08103616535663605,-0.2552869915962219,Health,Background
-0.0046865008771419525,-0.2606510519981384,Health,Background
-0.0776607096195221,-0.248450368642807,Health,Background
-0.09062963724136353,-0.05759812146425247,Health,Background
-0.18132741749286652,-0.08904843032360077,Health,Background
-0.08016844093799591,-0.16813528537750244,Health,Background
-0.19698886573314667,-0.035248711705207825,Health,Background
-0.1457805633544922,-0.1628791093826294,Health,Background
-0.1480751484632492,-0.030073273926973343,Health,Background
-0.11261339485645294,-0.09699903428554535,Health,Background
0.012243535369634628,-0.023023687303066254,Health,Background
-0.04486117139458656,-0.04361765831708908,Health,Background
-0.15505261719226837,0.1856175661087036,Health,Background
-0.12062709033489227,-0.0870433896780014,Health,Background
-0.021069418638944626,-0.2618303894996643,Health,Background
-0.06794849038124084,0.022742584347724915,Health,Background
-0.06789670884609222,-0.20798712968826294,Health,Background
-0.17367540299892426,-0.15696515142917633,Health,Background
-0.2005726844072342,-0.1922316551208496,Health,Background
-0.14888949692249298,-0.137337327003479,Health,Background
-0.11261339485645294,-0.09699903428554535,Health,Background
-0.06877255439758301,-0.25637102127075195,Health,Background
0.022716809064149857,-0.19458919763565063,Health,Background
-0.06712795794010162,-0.05683927983045578,Health,Background
0.0803598091006279,-0.11871202290058136,Health,Background
-0.2151968628168106,0.01588752120733261,Health,Background
