Model,Grid distance,Representation distance
Our model,1,141.51226806640625
Our model,1,136.15538024902344
Our model,1,140.51548767089844
Our model,1,136.81594848632812
Our model,1,197.96377563476562
Our model,1,133.37762451171875
Our model,1,157.6766357421875
Our model,1,110.34927368164062
Our model,1,115.64763641357422
Our model,1,143.17689514160156
Our model,1,95.55099487304688
Our model,1,193.6901092529297
Our model,1,148.4763641357422
Our model,1,193.1515350341797
Our model,1,117.17060852050781
Our model,1,142.64894104003906
Our model,1,133.93495178222656
Our model,1,131.04969787597656
Our model,1,162.4502716064453
Our model,1,139.36001586914062
Our model,1,132.3614501953125
Our model,1,130.3549041748047
Our model,1,137.7249755859375
Our model,1,157.9280242919922
Our model,1,129.67691040039062
Our model,1,108.01522827148438
Our model,1,137.84202575683594
Our model,1,165.98910522460938
Our model,1,120.52561950683594
Our model,1,130.70285034179688
Our model,1,141.8999786376953
Our model,1,143.89910888671875
Our model,1,126.962646484375
Our model,1,131.59864807128906
Our model,1,103.15609741210938
Our model,1,97.41921997070312
Our model,1,153.40232849121094
Our model,1,144.84898376464844
Our model,1,179.31402587890625
Our model,1,139.45970153808594
Our model,1,145.0529022216797
Our model,1,121.29210662841797
Our model,1,127.11209869384766
Our model,1,162.90480041503906
Our model,1,771.1245727539062
Our model,1,131.10890197753906
Our model,1,133.33389282226562
Our model,1,101.99129486083984
Our model,1,703.3046264648438
Our model,1,162.69309997558594
Our model,1,125.83992004394531
Our model,1,167.90455627441406
Our model,1,135.2381591796875
Our model,1,122.72181701660156
Our model,1,137.2545623779297
Our model,1,126.2901382446289
Our model,1,111.3122787475586
Our model,1,125.42245483398438
Our model,1,132.0950469970703
Our model,1,104.77300262451172
Our model,1,151.02935791015625
Our model,1,179.42222595214844
Our model,1,122.32132720947266
Our model,1,123.43865966796875
Our model,1,116.88145446777344
Our model,1,148.91433715820312
Our model,1,253.8109130859375
Our model,1,189.20050048828125
Our model,1,104.17041778564453
Our model,1,225.34339904785156
Our model,1,172.6416473388672
Our model,1,332.08050537109375
Our model,1,130.12852478027344
Our model,1,134.92385864257812
Our model,1,158.0593719482422
Our model,1,169.3596649169922
Our model,1,121.10924530029297
Our model,1,140.37144470214844
Our model,1,178.21511840820312
Our model,1,135.43807983398438
Our model,1,122.75437927246094
Our model,1,125.47880554199219
Our model,1,101.06856536865234
Our model,1,150.22738647460938
Our model,1,142.94125366210938
Our model,1,115.1468505859375
Our model,1,124.8126220703125
Our model,1,173.86117553710938
Our model,1,143.83714294433594
Our model,1,116.64881134033203
Our model,1,116.18119049072266
Our model,1,155.10301208496094
Our model,1,167.40977478027344
Our model,1,133.6710662841797
Our model,1,102.82241821289062
Our model,1,108.5727310180664
Our model,1,182.00721740722656
Our model,1,140.29164123535156
Our model,1,121.88887786865234
Our model,1,146.67491149902344
Our model,1,124.19039154052734
Our model,1,141.9564971923828
Our model,1,151.7418212890625
Our model,1,134.75975036621094
Our model,1,103.88180541992188
Our model,1,122.3343276977539
Our model,1,89.78177642822266
Our model,1,94.70213317871094
Our model,1,142.5497589111328
Our model,1,134.86700439453125
Our model,1,219.4597625732422
Our model,1,200.91751098632812
Our model,1,313.831298828125
Our model,1,271.6002197265625
Our model,1,143.18650817871094
Our model,1,89.70066833496094
Our model,1,88.97067260742188
Our model,1,144.54627990722656
Our model,1,93.43351745605469
Our model,1,134.70387268066406
Our model,1,96.30827331542969
Our model,1,114.45487976074219
Our model,1,101.22667694091797
Our model,1,170.9109649658203
Our model,1,122.80397033691406
Our model,1,140.45330810546875
Our model,1,135.8809814453125
Our model,1,138.34112548828125
Our model,1,139.2719268798828
Our model,1,178.17739868164062
Our model,1,138.64170837402344
Our model,1,99.61876678466797
Our model,1,184.4025115966797
