PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (2, 2)",-0.3539050549700931,0.14814482065069828,2,2,
Combined,Our model,"grid position (0, 0)",0.3947991786779549,-0.07317521341529705,0,0,
Combined,Our model,"grid position (0, 1)",0.26515340314871505,0.06894225727288135,0,1,
Combined,Our model,"grid position (0, 2)",0.254169398001832,-0.014494756551348168,0,2,
Combined,Our model,"grid position (1, 0)",0.004465431320789634,-0.2867202252185455,1,0,
Combined,Our model,"grid position (1, 1)",0.005052893178502813,-0.10959040181495305,1,1,
Combined,Our model,"grid position (1, 2)",-0.008903073091438129,-0.04975754358275252,1,2,
Combined,Our model,"grid position (2, 0)",-0.13271045145809196,-0.3171742364338597,2,0,
Combined,Our model,"grid position (2, 1)",-0.13347886820139487,-0.16409455457365993,2,1,
Combined,Our model,"grid position (2, 2)",-0.1795077842687831,-0.0572708364877383,2,2,
Combined,Our model,"grid position (0, 0)",0.2712781065269096,-0.01744410869224634,0,0,
Combined,Our model,"grid position (0, 1)",0.23714524120124006,0.06002482602728343,0,1,
Combined,Our model,"grid position (0, 2)",0.13029855875575377,0.43768099469932187,0,2,
Combined,Our model,"grid position (1, 0)",-0.04366986435633066,-0.22959919973163456,1,0,
Combined,Our model,"grid position (1, 1)",0.04751843055464173,-0.14524750927605193,1,1,
Combined,Our model,"grid position (1, 2)",-0.20450325471351516,0.12437462108201922,1,2,
Combined,Our model,"grid position (2, 0)",-0.1637156159059311,-0.25611779953838765,2,0,
Combined,Our model,"grid position (2, 1)",-0.15498075333483574,-0.06858819875064359,2,1,
Combined,Our model,"grid position (2, 2)",-0.369186045029669,0.13883721019948878,2,2,
Combined,Our model,"grid position (0, 0)",0.32141075747441966,-0.25014758564645134,0,0,
Combined,Our model,"grid position (0, 1)",0.1540359382180738,0.07815819103346801,0,1,
Combined,Our model,"grid position (0, 2)",0.0259998752105738,0.2913948296177814,0,2,
Combined,Our model,"grid position (1, 0)",-0.037734645775809206,-0.2006197908815012,1,0,
Combined,Our model,"grid position (1, 1)",-0.04256921141746392,-0.05345174993814809,1,1,
